Last Name,First Name,ID,Age,Appearances this EPL Season,Appearances in last 5 matches,Goals Scored this EPL Season,Goals Assisted this EPL Season,Own Goals this EPL Season,Goals Scored in last 5 matches,Goals Assited in last 5 matches,Own Goals in last 5 matches,Goals Conceded this EPL Season,Clean Sheets this EPL Season,Goals Conceded in last 5 matches,Clean sheet occurences in last 5 matches,Substitution On this EPL Season,Substitution Off this EPL Season,Subs On in last 5 matches,Subs off in last 5 matches,First Yellow Card this EPL Season,Second Yellow Card this EPL Season,Red Cards this EPL Season,Yellow Cards in last 5 matches,Red Cards in last 5 matches,Penalty Goals this EPL Season,Penalty Goals in last 5 matches,Minutes Per Goal this EPL Season,Total Minutes Played this EPL Season,Total minutes in last 5 matches,Injury Status this EPL Season,Form this EPL Season,Form in last 5 matches,Country,Overall,Potential,Club Last Season,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
Rashford,Marcus,1,22,12,5,6,3,,5,,,,,,,0,5,,1,2,0,0,1,,2,,173,1040,417,,6.2,,England,81,89,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€27M,€110K,2062,Right,2,4,4,High/ Medium,Lean,Yes,LW,11,"Jul 1, 2014",,2020,6'1,154lbs,79+2,79+2,79+2,80+2,80+2,80+2,80+2,80+2,78+2,78+2,78+2,79+2,72+2,72+2,72+2,79+2,63+2,59+2,59+2,59+2,63+2,60+2,53+2,53+2,53+2,60+2,75,78,71,75,72,83,77,78,65,80,90,93,88,79,77,87,68,79,71,77,70,42,81,74,74,73,32,40,33,11,6,15,7,14,€55.4M
Wan Bissaka,Aaron,2,21,10,5,,,,,,,,,,,,1,,,3,,,1,,,,,891,441,,1.8,,England,74,84,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,€8M,€28K,1834,Right,1,2,3,Medium/ High,Lean,Yes,RB,29,"Jul 2, 2015",,2022,6'0,159lbs,60+2,60+2,60+2,66+2,64+2,64+2,64+2,66+2,64+2,64+2,64+2,67+2,63+2,63+2,63+2,67+2,72+2,68+2,68+2,68+2,72+2,73+2,71+2,71+2,71+2,73+2,64,44,60,66,43,73,47,45,52,67,86,87,83,65,71,51,60,70,67,46,63,71,62,60,56,61,78,76,82,9,8,6,8,8,€16.8M
McTominay,Scott,3,22,12,5,3,1,,2,,,,,,,,3,,1,1,,,,,,,356,1067,111,0.75,4.2,,Scotland,71,81,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€3.8M,€43K,1847,Right,1,3,3,Medium/ Medium,Lean,Yes,CM,17,"Jul 1, 2013",,2021,6'4,194lbs,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,69+2,69+2,69+2,67+2,68+2,71+2,71+2,71+2,68+2,68+2,70+2,70+2,70+2,68+2,66,58,72,75,53,65,50,34,69,73,62,65,61,67,51,71,66,71,78,61,72,73,61,71,59,74,68,69,64,9,6,6,10,11,€7.8M
Pogba,Paul,4,26,5,,,2,,,,,,,,,,,,,,,,,,,,,450,,1,,,France,87,91,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€64M,€210K,2247,Right,4,4,5,High/ Low,Normal,Yes,RDM,6,"Aug 9, 2016",,2021,6'4,185lbs,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,83+3,83+3,83+3,83+3,84+3,84+3,84+3,83+3,77+3,78+3,78+3,78+3,77+3,75+3,74+3,74+3,74+3,75+3,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3,€123.2M
Martial,Anthony,5,23,7,5,3,3,,2,2,,,,,,1,1,1,2,1,,,,,,,177,531,369,,4.8,,France,84,90,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€42.5M,€165K,2064,Right,3,3,4,Medium/ Medium,Normal,Yes,LW,11,"Sep 1, 2015",,2019,6'0,168lbs,81+3,81+3,81+3,82+3,82+3,82+3,82+3,82+3,80+3,80+3,80+3,81+3,73+3,73+3,73+3,81+3,64+3,60+3,60+3,60+3,64+3,61+3,54+3,54+3,54+3,61+3,76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,73,81,79,38,39,36,9,8,8,15,11,€87.1M
Maguire,Harry,6,26,12,5,,1,,,1,,,,,,,,,,1,,,,,,,,1080,450,,2,,England,82,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,€23.5M,€77K,1853,Right,1,3,2,High/ High,Stocky,Yes,LCB,6,"Jun 15, 2017",,2023,6'4,220lbs,64+2,64+2,64+2,60+2,64+2,64+2,64+2,60+2,65+2,65+2,65+2,63+2,70+2,70+2,70+2,63+2,70+2,77+2,77+2,77+2,70+2,71+2,81+2,81+2,81+2,71+2,44,43,87,77,41,70,38,46,72,76,39,53,52,79,58,68,74,68,89,45,84,78,60,60,44,79,81,84,81,14,16,9,14,9,€46.4M
Shaw,Luke,7,24,3,,,,,,,,,,,,,1,,,,,,,,,,,214,,0.5,,,England,80,85,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€16.5M,€96K,2047,Left,2,2,3,High/ Medium,Stocky,Yes,LB,23,"Jun 27, 2014",,2023,5'11,165lbs,69+2,69+2,69+2,74+2,72+2,72+2,72+2,74+2,73+2,73+2,73+2,76+2,73+2,73+2,73+2,76+2,79+2,76+2,76+2,76+2,79+2,78+2,76+2,76+2,76+2,78+2,82,47,70,78,54,82,63,58,68,80,83,85,74,77,74,65,73,77,75,50,76,77,73,69,53,73,77,80,78,10,12,13,7,7,€31.8M
Dalot,Diego,8,20,1,,,,,,,,,,,,,1,,,,,,,,,,,60,,1,,,Portugal,72,84,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€4.7M,€26K,1906,Right,1,3,3,High/ Medium,Normal,No,RB,20,"Jun 9, 2018",,2023,6'0,157lbs,67+2,67+2,67+2,68+2,68+2,68+2,68+2,68+2,66+2,66+2,66+2,69+2,66+2,66+2,66+2,69+2,72+2,69+2,69+2,69+2,72+2,71+2,70+2,70+2,70+2,71+2,75,52,65,69,44,73,75,44,58,74,73,73,69,76,63,76,78,79,71,59,80,68,68,54,43,73,72,68,67,10,6,10,6,8,€9.6M
James,Daniel,9,22,12,4,3,2,,,3,,,,,,1,4,1,2,3,,,,,,,328,985,340,,4,,Wales,64,79,Swansea City,https://cdn.sofifa.org/teams/2/light/1960.png,€1M,€5K,1567,Left,1,2,3,High/ Medium,Normal,Yes,LW,20,"Jan 10, 2016",,2020,5'7,168lbs,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,61+2,61+2,61+2,63+2,54+2,54+2,54+2,63+2,49+2,43+2,43+2,43+2,49+2,46+2,37+2,37+2,37+2,46+2,62,58,44,64,50,72,53,44,48,63,86,83,79,44,78,71,53,60,58,40,39,21,53,60,55,56,23,27,31,7,6,11,15,9,€2.5M
Young,Ashley,10,34,9,4,,,,,1,,,,,,1,1,1,,5,,,3,,,,,772,280,,1,,England,79,79,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€7M,€110K,2120,Right,2,3,4,High/ Medium,Lean,Yes,LB,18,"Jul 1, 2011",,2019,5'9,143lbs,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,77+2,76+2,76+2,76+2,77+2,76+2,72+2,72+2,72+2,76+2,84,64,57,79,71,77,86,75,70,79,77,72,77,80,76,75,55,75,67,69,78,77,67,76,60,74,75,76,74,16,10,15,16,15,€13M
